n,k,p,kp,beta,rounds,M,m_max,alpha,acc,lo,hi,chance,diag,offdiag,margin,spread,distinct_frac,nondet,seeds
1000,50,0.2,10,0.071773,10,40,23.0,2.0000,1.000000,0.968980,1.000000,0.025000,0.943500,0.252192,0.691308,0.225803,1.000000,0,42|43|44
1000,50,0.2,10,0.071773,10,50,23.0,2.5000,0.720000,0.643342,0.785671,0.020000,0.821733,0.277366,0.544367,0.231238,0.800000,0,42|43|44
1000,50,0.2,10,0.071773,10,60,23.0,3.0000,0.583333,0.510304,0.652880,0.016667,0.753556,0.309704,0.443851,0.250994,0.666667,0,42|43|44
