########## gain_x_depth ##########

  SWEEP gain_x_depth   25 configs x 2 seeds
  50 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv
  [ 50/50] n=4000 M=64 p=0.05 D=6 g=2.10 s=43  acc=0.016 marg=  1.00  [20s, eta 0m]

  done in 9.8 min
########## gain_x_kp ##########

  SWEEP gain_x_kp   24 configs x 2 seeds
  48 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv

  [  1/48] n=4000 M=64 p=0.02 D=5 g=1.50 s=42  acc=0.469 marg=  1.28  [17s, eta 14m]
  [  2/48] n=4000 M=64 p=0.02 D=5 g=1.50 s=43  acc=0.344 marg=  1.28  [17s, eta 13m]
  [  3/48] n=4000 M=64 p=0.02 D=5 g=1.70 s=42  acc=0.047 marg=  1.03  [16s, eta 13m]
  [  4/48] n=4000 M=64 p=0.02 D=5 g=1.70 s=43  acc=0.047 marg=  1.07  [16s, eta 12m]
  [  5/48] n=4000 M=64 p=0.02 D=5 g=1.84 s=42  acc=0.031 marg=  1.03  [16s, eta 12m]
  [  6/48] n=4000 M=64 p=0.02 D=5 g=1.84 s=43  acc=0.031 marg=  1.03  [16s, eta 12m]
  [  7/48] n=4000 M=64 p=0.02 D=5 g=1.96 s=42  acc=0.094 marg=  1.02  [14s, eta 11m]
  [  8/48] n=4000 M=64 p=0.02 D=5 g=1.96 s=43  acc=0.078 marg=  1.01  [14s, eta 11m]
  [  9/48] n=4000 M=64 p=0.02 D=5 g=2.10 s=42  acc=0.062 marg=  1.01  [12s, eta 10m]
  [ 10/48] n=4000 M=64 p=0.02 D=5 g=2.10 s=43  acc=0.047 marg=  1.02  [11s, eta 10m]
  [ 11/48] n=4000 M=64 p=0.02 D=5 g=2.35 s=42  acc=0.047 marg=  1.01  [14s, eta 9m]
  [ 12/48] n=4000 M=64 p=0.02 D=5 g=2.35 s=43  acc=0.047 marg=  1.01  [11s, eta 9m]
  [ 13/48] n=4000 M=64 p=0.05 D=5 g=1.50 s=42  acc=1.000 marg=  5.23  [15s, eta 9m]
  [ 14/48] n=4000 M=64 p=0.05 D=5 g=1.50 s=43  acc=1.000 marg=  5.20  [14s, eta 8m]
  [ 15/48] n=4000 M=64 p=0.05 D=5 g=1.70 s=42  acc=1.000 marg=  7.29  [13s, eta 8m]
  [ 16/48] n=4000 M=64 p=0.05 D=5 g=1.70 s=43  acc=1.000 marg=  7.24  [12s, eta 8m]
  [ 17/48] n=4000 M=64 p=0.05 D=5 g=1.84 s=42  acc=1.000 marg=  6.31  [14s, eta 7m]
  [ 18/48] n=4000 M=64 p=0.05 D=5 g=1.84 s=43  acc=0.969 marg=  3.66  [13s, eta 7m]
  [ 19/48] n=4000 M=64 p=0.05 D=5 g=1.96 s=42  acc=0.172 marg=  1.18  [15s, eta 7m]
  [ 20/48] n=4000 M=64 p=0.05 D=5 g=1.96 s=43  acc=0.156 marg=  1.19  [15s, eta 7m]
  [ 21/48] n=4000 M=64 p=0.05 D=5 g=2.10 s=42  acc=0.078 marg=  1.01  [13s, eta 6m]
  [ 22/48] n=4000 M=64 p=0.05 D=5 g=2.10 s=43  acc=0.109 marg=  1.01  [13s, eta 6m]
  [ 23/48] n=4000 M=64 p=0.05 D=5 g=2.35 s=42  acc=0.078 marg=  1.01  [11s, eta 6m]
  [ 24/48] n=4000 M=64 p=0.05 D=5 g=2.35 s=43  acc=0.078 marg=  1.01  [11s, eta 6m]
  [ 25/48] n=4000 M=64 p=0.1 D=5 g=1.50 s=42  acc=1.000 marg= 11.35  [13s, eta 5m]
  [ 26/48] n=4000 M=64 p=0.1 D=5 g=1.50 s=43  acc=1.000 marg= 11.06  [17s, eta 5m]
  [ 27/48] n=4000 M=64 p=0.1 D=5 g=1.70 s=42  acc=1.000 marg= 11.78  [13s, eta 5m]
  [ 28/48] n=4000 M=64 p=0.1 D=5 g=1.70 s=43  acc=1.000 marg= 12.14  [13s, eta 5m]
  [ 29/48] n=4000 M=64 p=0.1 D=5 g=1.84 s=42  acc=1.000 marg= 10.43  [15s, eta 4m]
  [ 30/48] n=4000 M=64 p=0.1 D=5 g=1.84 s=43  acc=1.000 marg=  9.83  [13s, eta 4m]
  [ 31/48] n=4000 M=64 p=0.1 D=5 g=1.96 s=42  acc=0.062 marg=  1.06  [16s, eta 4m]
