cut,n,k,p,kp,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.334166,1.7800,5,3,43,1.000000,11.872396,0.017621,0.012500,0.005186
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.334166,1.7800,5,4,43,1.000000,11.321354,0.017581,0.012500,0.005145
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.334166,1.7800,5,5,43,1.000000,10.687500,0.018226,0.012500,0.005798
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.356466,1.8400,5,1,42,1.000000,14.840104,0.015685,0.012500,0.003226
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.356466,1.8400,5,2,42,1.000000,11.399851,0.019758,0.012500,0.007350
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.356466,1.8400,5,3,42,1.000000,11.791146,0.018226,0.012500,0.005798
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.356466,1.8400,5,4,42,1.000000,11.310937,0.017742,0.012500,0.005308
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.356466,1.8400,5,5,42,1.000000,10.291667,0.018710,0.012500,0.006288
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.356466,1.8400,5,1,43,1.000000,13.772396,0.016492,0.012500,0.004042
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.356466,1.8400,5,2,43,1.000000,11.754725,0.019556,0.012500,0.007146
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.356466,1.8400,5,3,43,1.000000,11.186384,0.018468,0.012500,0.006043
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.356466,1.8400,5,4,43,1.000000,10.039397,0.018468,0.012500,0.006043
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.356466,1.8400,5,5,43,1.000000,9.506101,0.019113,0.012500,0.006697
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.378405,1.9000,5,1,42,1.000000,16.285937,0.015202,0.012500,0.002736
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.378405,1.9000,5,2,42,1.000000,11.333333,0.020363,0.012500,0.007962
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.378405,1.9000,5,3,42,1.000000,10.802083,0.019032,0.012500,0.006615
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.378405,1.9000,5,4,42,1.000000,9.828497,0.020968,0.012500,0.008575
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.378405,1.9000,5,5,42,1.000000,9.600000,0.019435,0.012500,0.007023
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.378405,1.9000,5,1,43,1.000000,15.253646,0.016250,0.012500,0.003797
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.378405,1.9000,5,2,43,1.000000,13.023475,0.019516,0.012500,0.007105
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.378405,1.9000,5,3,43,1.000000,10.333966,0.020282,0.012500,0.007881
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.378405,1.9000,5,4,43,1.000000,10.620313,0.019556,0.012500,0.007146
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.378405,1.9000,5,5,43,1.000000,9.340327,0.018306,0.012500,0.005880
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.400000,1.9600,5,1,42,1.000000,14.489583,0.016290,0.012500,0.003838
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.400000,1.9600,5,2,42,1.000000,13.149479,0.020121,0.012500,0.007717
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.400000,1.9600,5,3,42,1.000000,12.027083,0.018226,0.012500,0.005798
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.400000,1.9600,5,4,42,1.000000,8.892039,0.020282,0.012500,0.007881
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.400000,1.9600,5,5,42,1.000000,9.026587,0.020685,0.012500,0.008289
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.400000,1.9600,5,1,43,1.000000,13.838690,0.017298,0.012500,0.004859
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.400000,1.9600,5,2,43,1.000000,11.781944,0.019919,0.012500,0.007513
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.400000,1.9600,5,3,43,1.000000,10.352232,0.021048,0.012500,0.008657
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.400000,1.9600,5,4,43,1.000000,10.551786,0.021008,0.012500,0.008616
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.400000,1.9600,5,5,43,1.000000,8.637054,0.019677,0.012500,0.007268
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.421267,2.0200,5,1,42,1.000000,15.678125,0.015000,0.012500,0.002532
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.421267,2.0200,5,2,42,1.000000,12.817411,0.018589,0.012500,0.006166
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.421267,2.0200,5,3,42,1.000000,10.286235,0.020847,0.012500,0.008452
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.421267,2.0200,5,4,42,1.000000,9.046131,0.022581,0.012500,0.010208
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.421267,2.0200,5,5,42,1.000000,8.802765,0.021734,0.012500,0.009351
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.421267,2.0200,5,1,43,1.000000,13.984375,0.017137,0.012500,0.004696
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.421267,2.0200,5,2,43,1.000000,11.627083,0.019395,0.012500,0.006982
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.421267,2.0200,5,3,43,1.000000,10.702865,0.020484,0.012500,0.008085
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.421267,2.0200,5,4,43,1.000000,10.466704,0.020444,0.012500,0.008044
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.421267,2.0200,5,5,43,1.000000,9.470015,0.020202,0.012500,0.007799
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.449138,2.1000,5,1,42,1.000000,13.352083,0.016371,0.012500,0.003920
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.449138,2.1000,5,2,42,1.000000,9.821043,0.022782,0.012500,0.010412
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.449138,2.1000,5,3,42,1.000000,10.007366,0.020524,0.012500,0.008126
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.449138,2.1000,5,4,42,1.000000,6.634280,0.027823,0.012500,0.015517
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.449138,2.1000,5,5,42,0.968750,5.104968,0.030444,0.012500,0.018171
