n,k,p,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,3,42,0.125000,1.025068,0.247163,0.025000,0.227859
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,4,42,0.046875,1.009413,0.399226,0.025000,0.383822
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,5,42,0.046875,1.004185,0.584544,0.025000,0.573891
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,1,43,1.000000,6.029977,0.047966,0.025000,0.023555
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,2,43,0.453125,1.247226,0.132361,0.025000,0.110114
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,3,43,0.140625,1.015263,0.318800,0.025000,0.301333
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,4,43,0.000000,1.002978,0.460258,0.025000,0.446418
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,5,43,0.000000,1.006378,0.550000,0.025000,0.538462
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,1,44,1.000000,5.809245,0.047103,0.025000,0.022670
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,2,44,0.500000,1.193676,0.128313,0.025000,0.105963
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,3,44,0.140625,1.018131,0.279960,0.025000,0.261498
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,4,44,0.031250,1.006790,0.449276,0.025000,0.435155
2000,50,0.05,64,1.6,2,0.349074,1.8200,5,5,44,0.015625,1.000000,0.574782,0.025000,0.563879
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,1,42,1.000000,5.716115,0.051508,0.025000,0.027188
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,2,42,0.359375,1.169450,0.132748,0.025000,0.110511
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,3,42,0.140625,1.022061,0.288700,0.025000,0.270462
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,4,42,0.062500,1.007440,0.404206,0.025000,0.388930
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,5,42,0.015625,1.000638,0.469812,0.025000,0.456217
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,1,43,1.000000,5.583281,0.053819,0.025000,0.029558
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,2,43,0.359375,1.122784,0.162738,0.025000,0.141270
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,3,43,0.140625,1.018187,0.370823,0.025000,0.354691
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,4,43,0.031250,1.007367,0.537639,0.025000,0.525783
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,5,43,0.000000,1.004145,0.592173,0.025000,0.581716
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,1,44,1.000000,5.273815,0.055456,0.025000,0.031237
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,2,44,0.390625,1.101823,0.169385,0.025000,0.148087
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,3,44,0.125000,1.019501,0.328204,0.025000,0.310979
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,4,44,0.093750,1.010280,0.479970,0.025000,0.466636
2000,50,0.05,64,1.6,2,0.371131,1.8800,5,5,44,0.062500,1.002232,0.601488,0.025000,0.591270
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,1,42,1.000000,4.985089,0.055179,0.025000,0.030952
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,2,42,0.359375,1.158170,0.148651,0.025000,0.126821
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,3,42,0.203125,1.021175,0.302500,0.025000,0.284615
