n,k,p,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,1,42,1.000000,14.131771,0.013105,0.012500,0.000612
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,2,42,1.000000,11.217187,0.016250,0.012500,0.003797
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,3,42,1.000000,9.563021,0.015282,0.012500,0.002817
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,4,42,1.000000,8.182031,0.016774,0.012500,0.004328
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,5,42,1.000000,7.111830,0.014315,0.012500,0.001837
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,1,43,1.000000,13.308854,0.014032,0.012500,0.001552
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,2,43,1.000000,13.102083,0.015040,0.012500,0.002572
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,3,43,1.000000,10.515625,0.015645,0.012500,0.003185
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,4,43,1.000000,9.141146,0.015403,0.012500,0.002940
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,5,43,1.000000,8.532292,0.015444,0.012500,0.002981
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,1,44,1.000000,15.085938,0.013790,0.012500,0.001307
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,2,44,1.000000,13.338542,0.015121,0.012500,0.002654
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,3,44,1.000000,10.160937,0.016532,0.012500,0.004083
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,4,44,1.000000,9.535417,0.016774,0.012500,0.004328
4000,50,0.05,32,0.4,2,0.224745,1.5000,5,5,44,1.000000,8.040625,0.015121,0.012500,0.002654
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,1,42,1.000000,14.842708,0.014758,0.012500,0.002287
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,2,42,1.000000,12.244792,0.017661,0.012500,0.005227
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,3,42,1.000000,10.908333,0.015323,0.012500,0.002858
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,4,42,1.000000,10.554167,0.015484,0.012500,0.003022
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,5,42,1.000000,9.190997,0.016895,0.012500,0.004451
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,1,43,1.000000,14.092187,0.015242,0.012500,0.002777
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,2,43,1.000000,11.732217,0.016371,0.012500,0.003920
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,3,43,1.000000,11.339881,0.016734,0.012500,0.004287
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,4,43,1.000000,9.797917,0.018427,0.012500,0.006002
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,5,43,1.000000,9.480060,0.016210,0.012500,0.003757
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,1,44,1.000000,14.929167,0.015081,0.012500,0.002613
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,2,44,1.000000,11.587500,0.018790,0.012500,0.006370
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,3,44,1.000000,11.073958,0.017944,0.012500,0.005512
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,4,44,1.000000,9.994271,0.016411,0.012500,0.003961
4000,50,0.05,32,0.4,2,0.284523,1.6500,5,5,44,1.000000,9.926042,0.017177,0.012500,0.004737
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,1,42,1.000000,13.628125,0.014597,0.012500,0.002123
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,2,42,1.000000,11.956771,0.019435,0.012500,0.007023
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,3,42,1.000000,11.333631,0.017500,0.012500,0.005063
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,4,42,1.000000,10.177232,0.017944,0.012500,0.005512
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,5,42,1.000000,10.399479,0.017782,0.012500,0.005349
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,1,43,1.000000,14.895833,0.015605,0.012500,0.003144
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,2,43,1.000000,12.071615,0.018548,0.012500,0.006125
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,3,43,1.000000,10.829688,0.018911,0.012500,0.006492
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,4,43,1.000000,10.549219,0.018185,0.012500,0.005757
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,5,43,1.000000,9.405208,0.018548,0.012500,0.006125
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,1,44,1.000000,14.400000,0.015887,0.012500,0.003430
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,2,44,1.000000,11.541667,0.018266,0.012500,0.005839
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,3,44,1.000000,10.367932,0.018629,0.012500,0.006207
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,4,44,1.000000,11.565104,0.016048,0.012500,0.003593
4000,50,0.05,32,0.4,2,0.322876,1.7500,5,5,44,1.000000,10.283854,0.018427,0.012500,0.006002
4000,50,0.05,32,0.4,2,0.349074,1.8200,5,1,42,1.000000,14.705729,0.014960,0.012500,0.002491
4000,50,0.05,32,0.4,2,0.349074,1.8200,5,2,42,1.000000,12.115625,0.018669,0.012500,0.006247
4000,50,0.05,32,0.4,2,0.349074,1.8200,5,3,42,1.000000,11.210491,0.019879,0.012500,0.007472
4000,50,0.05,32,0.4,2,0.349074,1.8200,5,4,42,1.000000,9.025744,0.021210,0.012500,0.008820
4000,50,0.05,32,0.4,2,0.349074,1.8200,5,5,42,1.000000,8.499554,0.019395,0.012500,0.006982
