n,k,p,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,3,42,0.781250,1.482712,0.109919,0.025000,0.087097
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,4,42,0.125000,1.019099,0.232621,0.025000,0.212945
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,5,42,0.031250,1.000638,0.327742,0.025000,0.310505
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,1,43,1.000000,8.486124,0.035605,0.025000,0.010877
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,2,43,1.000000,5.685294,0.044960,0.025000,0.020471
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,3,43,1.000000,3.002990,0.053911,0.025000,0.029653
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,4,43,0.437500,1.343615,0.068629,0.025000,0.044748
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,5,43,0.031250,1.010032,0.103306,0.025000,0.080314
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,1,44,1.000000,8.155506,0.040202,0.025000,0.015591
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,2,44,1.000000,5.107185,0.047500,0.025000,0.023077
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,3,44,1.000000,2.502721,0.061613,0.025000,0.037552
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,4,44,0.218750,1.120990,0.099395,0.025000,0.076303
2000,50,0.05,32,0.8,2,0.349074,1.8200,5,5,44,0.031250,1.004007,0.160484,0.025000,0.138958
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,1,42,1.000000,8.728385,0.038427,0.025000,0.013772
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,2,42,1.000000,4.227521,0.060444,0.025000,0.036352
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,3,42,0.500000,1.456496,0.126492,0.025000,0.104094
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,4,42,0.125000,1.004889,0.237782,0.025000,0.218238
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,5,42,0.031250,1.000000,0.306532,0.025000,0.288751
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,1,43,1.000000,8.624219,0.036371,0.025000,0.011663
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,2,43,1.000000,4.646536,0.051089,0.025000,0.026758
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,3,43,0.781250,1.671223,0.082823,0.025000,0.059305
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,4,43,0.031250,1.039400,0.132621,0.025000,0.110380
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,5,43,0.000000,1.011125,0.212581,0.025000,0.192390
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,1,44,1.000000,8.276302,0.038992,0.025000,0.014351
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,2,44,1.000000,4.705957,0.053508,0.025000,0.029239
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,3,44,0.687500,1.402164,0.090766,0.025000,0.067452
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,4,44,0.062500,1.023450,0.153427,0.025000,0.131720
2000,50,0.05,32,0.8,2,0.371131,1.8800,5,5,44,0.062500,1.009688,0.236976,0.025000,0.217411
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,1,42,1.000000,8.236124,0.040847,0.025000,0.016253
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,2,42,1.000000,4.243071,0.065040,0.025000,0.041067
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,3,42,0.250000,1.140582,0.172984,0.025000,0.151778
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,4,42,0.093750,1.001940,0.342177,0.025000,0.325310
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,5,42,0.031250,1.000000,0.447823,0.025000,0.433664
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,1,43,1.000000,8.463690,0.038468,0.025000,0.013813
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,2,43,1.000000,4.052215,0.065887,0.025000,0.041935
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,3,43,0.250000,1.244605,0.123790,0.025000,0.101323
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,4,43,0.062500,1.002633,0.218306,0.025000,0.198263
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,5,43,0.000000,1.000638,0.316169,0.025000,0.298635
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,1,44,1.000000,7.769469,0.038911,0.025000,0.014268
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,2,44,1.000000,4.681511,0.052782,0.025000,0.028495
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,3,44,0.781250,1.376823,0.099597,0.025000,0.076510
