########## gain_x_alpha ##########

  SWEEP gain_x_alpha   64 configs x 2 seeds
  40 to run, 88 already done -> F:\Github\assemblies\research\experiments\sweep.csv
  [ 42/96] n=4000 M=64 p=0.05 D=5 g=1.40 s=43  acc=0.969 marg=  3.37  [10s, eta 24m]
  [ 43/96] n=4000 M=64 p=0.05 D=5 g=1.50 s=42  acc=1.000 marg=  5.23  [9s, eta 23m]
  [ 44/96] n=4000 M=64 p=0.05 D=5 g=1.50 s=43  acc=1.000 marg=  5.20  [10s, eta 23m]
  [ 45/96] n=4000 M=64 p=0.05 D=5 g=1.60 s=42  acc=1.000 marg=  6.46  [11s, eta 22m]
  [ 46/96] n=4000 M=64 p=0.05 D=5 g=1.60 s=43  acc=1.000 marg=  6.74  [9s, eta 21m]
  [ 47/96] n=4000 M=64 p=0.05 D=5 g=1.70 s=42  acc=1.000 marg=  7.29  [10s, eta 21m]
  [ 48/96] n=4000 M=64 p=0.05 D=5 g=1.70 s=43  acc=1.000 marg=  7.24  [9s, eta 20m]
  [ 49/96] n=4000 M=64 p=0.05 D=5 g=1.78 s=42  acc=1.000 marg=  6.24  [9s, eta 19m]
  [ 50/96] n=4000 M=64 p=0.05 D=5 g=1.78 s=43  acc=1.000 marg=  6.42  [10s, eta 19m]
  [ 51/96] n=4000 M=64 p=0.05 D=5 g=1.84 s=42  acc=1.000 marg=  6.31  [11s, eta 18m]
  [ 52/96] n=4000 M=64 p=0.05 D=5 g=1.84 s=43  acc=0.969 marg=  3.66  [11s, eta 17m]
  [ 53/96] n=4000 M=64 p=0.05 D=5 g=1.90 s=42  acc=0.609 marg=  2.67  [12s, eta 17m]
  [ 54/96] n=4000 M=64 p=0.05 D=5 g=1.90 s=43  acc=0.219 marg=  1.33  [12s, eta 16m]
  [ 55/96] n=4000 M=64 p=0.05 D=5 g=1.96 s=42  acc=0.172 marg=  1.18  [12s, eta 16m]
  [ 56/96] n=4000 M=64 p=0.05 D=5 g=1.96 s=43  acc=0.156 marg=  1.19  [15s, eta 15m]
  [ 57/96] n=4000 M=64 p=0.05 D=5 g=2.02 s=42  acc=0.172 marg=  1.10  [11s, eta 15m]
  [ 58/96] n=4000 M=64 p=0.05 D=5 g=2.02 s=43  acc=0.062 marg=  1.01  [11s, eta 14m]
  [ 59/96] n=4000 M=64 p=0.05 D=5 g=2.10 s=42  acc=0.078 marg=  1.01  [13s, eta 14m]
  [ 60/96] n=4000 M=64 p=0.05 D=5 g=2.10 s=43  acc=0.109 marg=  1.01  [14s, eta 13m]
  [ 61/96] n=4000 M=64 p=0.05 D=5 g=2.20 s=42  acc=0.125 marg=  1.02  [14s, eta 13m]
  [ 62/96] n=4000 M=64 p=0.05 D=5 g=2.20 s=43  acc=0.047 marg=  1.01  [11s, eta 12m]
  [ 63/96] n=4000 M=64 p=0.05 D=5 g=2.35 s=42  acc=0.078 marg=  1.01  [10s, eta 12m]
  [ 64/96] n=4000 M=64 p=0.05 D=5 g=2.35 s=43  acc=0.078 marg=  1.01  [9s, eta 11m]
  [ 65/96] n=4000 M=32 p=0.025 D=5 g=1.08 s=42  acc=0.656 marg=  1.74  [8s, eta 11m]
  [ 66/96] n=4000 M=32 p=0.025 D=5 g=1.08 s=43  acc=0.656 marg=  1.61  [8s, eta 11m]
  [ 67/96] n=4000 M=32 p=0.025 D=5 g=1.15 s=42  acc=0.938 marg=  2.19  [8s, eta 10m]
  [ 68/96] n=4000 M=32 p=0.025 D=5 g=1.15 s=43  acc=0.875 marg=  2.11  [8s, eta 10m]
  [ 69/96] n=4000 M=32 p=0.025 D=5 g=1.22 s=42  acc=0.906 marg=  2.80  [8s, eta 9m]
