
  SWEEP gain_x_alpha   112 configs x 3 seeds
  336 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv
  [ 50/336] n=4000 M=64 p=0.05 D=5 g=1.08 s=45  acc=0.156 marg=  1.22  [19s, eta 30m]
  [ 51/336] n=4000 M=64 p=0.05 D=5 g=1.08 s=46  acc=0.094 marg=  1.22  [20s, eta 31m]
  [ 52/336] n=4000 M=64 p=0.05 D=5 g=1.15 s=44  acc=0.188 marg=  1.31  [18s, eta 32m]
  [ 53/336] n=4000 M=64 p=0.05 D=5 g=1.15 s=45  acc=0.188 marg=  1.30  [17s, eta 33m]
  [ 54/336] n=4000 M=64 p=0.05 D=5 g=1.15 s=46  acc=0.328 marg=  1.43  [14s, eta 33m]
  [ 55/336] n=4000 M=64 p=0.05 D=5 g=1.22 s=44  acc=0.547 marg=  1.48  [14s, eta 34m]
  [ 56/336] n=4000 M=64 p=0.05 D=5 g=1.22 s=45  acc=0.453 marg=  1.43  [14s, eta 34m]
  [ 57/336] n=4000 M=64 p=0.05 D=5 g=1.22 s=46  acc=0.562 marg=  1.59  [14s, eta 34m]
  [ 58/336] n=4000 M=64 p=0.05 D=5 g=1.30 s=44  acc=0.641 marg=  1.93  [15s, eta 35m]
  [ 59/336] n=4000 M=64 p=0.05 D=5 g=1.30 s=45  acc=0.734 marg=  1.87  [14s, eta 35m]
  [ 60/336] n=4000 M=64 p=0.05 D=5 g=1.30 s=46  acc=0.734 marg=  2.15  [13s, eta 36m]
  [ 61/336] n=4000 M=64 p=0.05 D=5 g=1.40 s=44  acc=0.953 marg=  3.53  [14s, eta 36m]
  [ 62/336] n=4000 M=64 p=0.05 D=5 g=1.40 s=45  acc=0.969 marg=  3.50  [13s, eta 36m]
  [ 63/336] n=4000 M=64 p=0.05 D=5 g=1.40 s=46  acc=0.938 marg=  2.99  [14s, eta 37m]
  [ 64/336] n=4000 M=64 p=0.05 D=5 g=1.50 s=44  acc=0.984 marg=  5.44  [11s, eta 37m]
  [ 65/336] n=4000 M=64 p=0.05 D=5 g=1.50 s=45  acc=1.000 marg=  5.04  [10s, eta 37m]
  [ 66/336] n=4000 M=64 p=0.05 D=5 g=1.50 s=46  acc=1.000 marg=  4.54  [10s, eta 37m]
  [ 67/336] n=4000 M=64 p=0.05 D=5 g=1.60 s=44  acc=1.000 marg=  6.26  [10s, eta 37m]
  [ 68/336] n=4000 M=64 p=0.05 D=5 g=1.60 s=45  acc=1.000 marg=  6.91  [10s, eta 37m]
  [ 69/336] n=4000 M=64 p=0.05 D=5 g=1.60 s=46  acc=1.000 marg=  6.38  [11s, eta 37m]
  [ 70/336] n=4000 M=64 p=0.05 D=5 g=1.70 s=44  acc=1.000 marg=  6.86  [9s, eta 36m]
