seed,depth,holdout_pattern,wobbly_bootstrap,train_s,calibration_s,fork_s,n400_cohens_d,p600_cohens_d,p600_ready,holdout_acc,holdout_small_cat,wobble_rate,wobbly_episodes,cache_hit
42,TWO_WORD,balanced,False,2.823,0.749,0.202,0.0,0.0,True,0.6667,DET,1.0,2,True
42,TWO_WORD,balanced,True,2.823,0.749,0.12,0.0,0.0,True,1.0,ADJ,1.0,2,True
42,TWO_WORD,subject_only,False,2.823,0.749,0.131,0.0,0.0,True,1.0,ADJ,1.0,2,True
42,TWO_WORD,subject_only,True,2.823,0.749,0.253,0.0,0.0,True,1.0,ADJ,1.0,2,True
42,TWO_WORD,object_only,False,2.823,0.749,0.112,0.0,0.0,True,0.6667,DET,1.0,2,True
42,TWO_WORD,object_only,True,2.823,0.749,0.11,0.0,0.0,True,0.6667,NOUN,1.0,2,True
43,TWO_WORD,balanced,False,2.819,0.823,0.111,0.0,0.0,True,0.6667,DET,1.0,2,True
43,TWO_WORD,balanced,True,2.819,0.823,0.108,0.0,0.0,True,1.0,ADJ,1.0,2,True
43,TWO_WORD,subject_only,False,2.819,0.823,0.254,0.0,0.0,True,1.0,ADJ,1.0,2,True
43,TWO_WORD,subject_only,True,2.819,0.823,0.13,0.0,0.0,True,1.0,ADJ,1.0,2,True
43,TWO_WORD,object_only,False,2.819,0.823,0.117,0.0,0.0,True,0.6667,DET,1.0,2,True
43,TWO_WORD,object_only,True,2.819,0.823,0.245,0.0,0.0,True,0.6667,NOUN,1.0,2,True
44,TWO_WORD,balanced,False,2.695,0.818,0.26,0.0,0.0,True,0.6667,DET,1.0,2,True
44,TWO_WORD,balanced,True,2.695,0.818,0.145,0.0,0.0,True,0.6667,NOUN,1.0,2,True
44,TWO_WORD,subject_only,False,2.695,0.818,0.137,0.0,0.0,True,1.0,ADJ,1.0,2,True
44,TWO_WORD,subject_only,True,2.695,0.818,0.119,0.0,0.0,True,0.6667,DET,1.0,2,True
44,TWO_WORD,object_only,False,2.695,0.818,0.2,0.0,0.0,True,0.6667,DET,1.0,2,True
44,TWO_WORD,object_only,True,2.695,0.818,0.141,0.0,0.0,True,0.6667,NOUN,1.0,2,True
